"n","rho","k","method","rej"
"493",8,0.15,2,"spearman",0.0596666666666667
"494",15,0.15,2,"spearman",0.075
"495",25,0.15,2,"spearman",0.104666666666667
"496",50,0.15,2,"spearman",0.167333333333333
"497",8,0.2,2,"spearman",0.066
"498",15,0.2,2,"spearman",0.0913333333333333
"499",25,0.2,2,"spearman",0.150333333333333
"500",50,0.2,2,"spearman",0.249
"501",8,0.25,2,"spearman",0.0776666666666667
"502",15,0.25,2,"spearman",0.124
"503",25,0.25,2,"spearman",0.226666666666667
"504",50,0.25,2,"spearman",0.381
"505",8,0.3,2,"spearman",0.0873333333333333
"506",15,0.3,2,"spearman",0.17
"507",25,0.3,2,"spearman",0.27
"508",50,0.3,2,"spearman",0.514666666666667
"509",8,0.35,2,"spearman",0.105
"510",15,0.35,2,"spearman",0.201333333333333
"511",25,0.35,2,"spearman",0.363666666666667
"512",50,0.35,2,"spearman",0.648333333333333
"513",8,0.4,2,"spearman",0.117
"514",15,0.4,2,"spearman",0.260333333333333
"515",25,0.4,2,"spearman",0.461
"516",50,0.4,2,"spearman",0.784666666666667
"517",8,0.45,2,"spearman",0.148
"518",15,0.45,2,"spearman",0.346
"519",25,0.45,2,"spearman",0.585333333333333
"520",50,0.45,2,"spearman",0.886
"521",8,0.5,2,"spearman",0.182
"522",15,0.5,2,"spearman",0.428333333333333
"523",25,0.5,2,"spearman",0.686333333333333
"524",50,0.5,2,"spearman",0.941333333333333
"525",8,0.55,2,"spearman",0.24
"526",15,0.55,2,"spearman",0.510666666666667
"527",25,0.55,2,"spearman",0.765333333333333
"528",50,0.55,2,"spearman",0.98
"529",8,0.6,2,"spearman",0.277333333333333
"530",15,0.6,2,"spearman",0.609666666666667
"531",25,0.6,2,"spearman",0.867
"532",50,0.6,2,"spearman",0.996
"533",8,0.65,2,"spearman",0.339666666666667
"534",15,0.65,2,"spearman",0.701
"535",25,0.65,2,"spearman",0.938333333333333
"536",50,0.65,2,"spearman",0.998
"537",8,0.7,2,"spearman",0.407
"538",15,0.7,2,"spearman",0.784
"539",25,0.7,2,"spearman",0.968666666666667
"540",50,0.7,2,"spearman",0.999333333333333
"541",8,0.75,2,"spearman",0.494
"542",15,0.75,2,"spearman",0.867
"543",25,0.75,2,"spearman",0.986
"544",50,0.75,2,"spearman",1
"545",8,0.8,2,"spearman",0.590666666666667
"546",15,0.8,2,"spearman",0.937333333333333
"547",25,0.8,2,"spearman",0.997333333333333
"548",50,0.8,2,"spearman",1
"549",8,0.85,2,"spearman",0.711666666666667
"550",15,0.85,2,"spearman",0.973333333333333
"551",25,0.85,2,"spearman",1
"552",50,0.85,2,"spearman",1
"553",8,0.9,2,"spearman",0.832333333333333
"554",15,0.9,2,"spearman",0.995666666666667
"555",25,0.9,2,"spearman",1
"556",50,0.9,2,"spearman",1
"557",8,0.95,2,"spearman",0.937333333333333
"558",15,0.95,2,"spearman",0.999333333333333
"559",25,0.95,2,"spearman",1
"560",50,0.95,2,"spearman",1
"561",8,0,3,"spearman",0.0466666666666667
"562",15,0,3,"spearman",0.0456666666666667
"563",25,0,3,"spearman",0.0496666666666667
"564",50,0,3,"spearman",0.0446666666666667
"565",8,0.05,3,"spearman",0.057
"566",15,0.05,3,"spearman",0.0536666666666667
"567",25,0.05,3,"spearman",0.055
"568",50,0.05,3,"spearman",0.0613333333333333
"569",8,0.1,3,"spearman",0.0493333333333333
"570",15,0.1,3,"spearman",0.059
"571",25,0.1,3,"spearman",0.071
"572",50,0.1,3,"spearman",0.097
"573",8,0.15,3,"spearman",0.0636666666666667
"574",15,0.15,3,"spearman",0.077
"575",25,0.15,3,"spearman",0.0956666666666667
"576",50,0.15,3,"spearman",0.181333333333333
"577",8,0.2,3,"spearman",0.06
"578",15,0.2,3,"spearman",0.0916666666666667
"579",25,0.2,3,"spearman",0.143
"580",50,0.2,3,"spearman",0.257333333333333
"581",8,0.25,3,"spearman",0.0736666666666667
"582",15,0.25,3,"spearman",0.132333333333333
"583",25,0.25,3,"spearman",0.198333333333333
"584",50,0.25,3,"spearman",0.382666666666667
"585",8,0.3,3,"spearman",0.106333333333333
"586",15,0.3,3,"spearman",0.157333333333333
"587",25,0.3,3,"spearman",0.270333333333333
"588",50,0.3,3,"spearman",0.53
"589",8,0.35,3,"spearman",0.113333333333333
"590",15,0.35,3,"spearman",0.215666666666667
"591",25,0.35,3,"spearman",0.359333333333333
"592",50,0.35,3,"spearman",0.659
"593",8,0.4,3,"spearman",0.129666666666667
"594",15,0.4,3,"spearman",0.281666666666667
"595",25,0.4,3,"spearman",0.472333333333333
"596",50,0.4,3,"spearman",0.782666666666667
"597",8,0.45,3,"spearman",0.158
"598",15,0.45,3,"spearman",0.342666666666667
"599",25,0.45,3,"spearman",0.591
"600",50,0.45,3,"spearman",0.887666666666667
"601",8,0.5,3,"spearman",0.199
"602",15,0.5,3,"spearman",0.428
"603",25,0.5,3,"spearman",0.689333333333333
"604",50,0.5,3,"spearman",0.939666666666667
"605",8,0.55,3,"spearman",0.215666666666667
"606",15,0.55,3,"spearman",0.522666666666667
"607",25,0.55,3,"spearman",0.777333333333333
"608",50,0.55,3,"spearman",0.981
"609",8,0.6,3,"spearman",0.282666666666667
"610",15,0.6,3,"spearman",0.601
"611",25,0.6,3,"spearman",0.862666666666667
"612",50,0.6,3,"spearman",0.992333333333333
"613",8,0.65,3,"spearman",0.345666666666667
"614",15,0.65,3,"spearman",0.702666666666667
"615",25,0.65,3,"spearman",0.925333333333333
"616",50,0.65,3,"spearman",0.998666666666667
"617",8,0.7,3,"spearman",0.421666666666667
"618",15,0.7,3,"spearman",0.791
"619",25,0.7,3,"spearman",0.964333333333333
"620",50,0.7,3,"spearman",0.999333333333333
"621",8,0.75,3,"spearman",0.491
